Rank,UCI ID,Name,Nationality,Team Code,Age,Points,
347,10006290129,GRENDA Ben,AUSTRALIA,,23,2,
347,10006427848,WESEMANN Martin Ulrich,SOUTH AFRICA,MTN,29,2,
347,10006468062,COLBRELLI Sonny,ITALY,BAR,23,2,
347,10006487058,VAN ZYL Johann,SOUTH AFRICA,MTN,22,2,
347,10006874452,KERBY Jordan,AUSTRALIA,CWO,21,2,
347,10007360361,BECKINSALE Jack,AUSTRALIA,HGP,20,2,
347,10007461708,BOGDANOVICS Maris,LATVIA,ALB,22,2,
347,10007528089,ALEKSIEV Aleksandar,BULGARIA,,21,2,
347,10007733308,SANIKWATHI Thanawut,THAILAND,,20,2,
347,10007943371,MACANALLY Ryan,AUSTRALIA,,21,2,
347,10008017032,PARK Kyoungho,KOREA,SCT,20,2,
347,10008745845,KREMER Aron,NETHERLANDS,CMD,24,2,
347,10008890840,BAYU NURHIDAYAT Eko,INDONESIA,,23,2,
347,10008930549,ENGLISH Peter,AUSTRALIA,,28,2,
368,10007151510,HANDLEY Richard,GREAT BRITAIN,RCJ,23,0,5
368,10008635206,PORTER Elliott,GREAT BRITAIN,RCJ,22,0,5
368,10051858507,CARTHY Hugh John,GREAT BRITAIN,RCJ,19,0,5
